place,date,value
transit_stations,2020-02-18,94.85714285714286
workplaces,2020-02-18,88.85714285714286
grocery_pharm,2020-02-18,97.42857142857143
residential,2020-02-18,102.28571428571429
retail_rec,2020-02-18,102
transit_stations,2020-02-19,96.28571428571429
workplaces,2020-02-19,89.14285714285714
grocery_pharm,2020-02-19,98.14285714285714
residential,2020-02-19,102.14285714285714
retail_rec,2020-02-19,103.14285714285714
transit_stations,2020-02-20,97.71428571428571
workplaces,2020-02-20,89.42857142857143
grocery_pharm,2020-02-20,98.71428571428571
residential,2020-02-20,102
retail_rec,2020-02-20,104
transit_stations,2020-02-21,97.71428571428571
workplaces,2020-02-21,91.14285714285714
grocery_pharm,2020-02-21,98.42857142857143
residential,2020-02-21,101.85714285714286
retail_rec,2020-02-21,102.14285714285714
transit_stations,2020-02-22,98.28571428571429
workplaces,2020-02-22,93.28571428571429
grocery_pharm,2020-02-22,99.14285714285714
residential,2020-02-22,101.57142857142857
retail_rec,2020-02-22,101
transit_stations,2020-02-23,98.71428571428571
workplaces,2020-02-23,95.42857142857143
grocery_pharm,2020-02-23,99.42857142857143
residential,2020-02-23,101.14285714285714
retail_rec,2020-02-23,100.28571428571429
transit_stations,2020-02-24,99.42857142857143
workplaces,2020-02-24,97.42857142857143
grocery_pharm,2020-02-24,99.85714285714286
residential,2020-02-24,100.71428571428571
retail_rec,2020-02-24,99.85714285714286
transit_stations,2020-02-25,99.85714285714286
workplaces,2020-02-25,99.42857142857143
grocery_pharm,2020-02-25,100.14285714285714
residential,2020-02-25,100.42857142857143
retail_rec,2020-02-25,99.28571428571429
transit_stations,2020-02-26,99.85714285714286
workplaces,2020-02-26,99.71428571428571
grocery_pharm,2020-02-26,100.57142857142857
residential,2020-02-26,100.28571428571429
retail_rec,2020-02-26,100
transit_stations,2020-02-27,100.14285714285714
workplaces,2020-02-27,100
grocery_pharm,2020-02-27,101.14285714285714
residential,2020-02-27,100.14285714285714
retail_rec,2020-02-27,101.14285714285714
transit_stations,2020-02-28,100.42857142857143
workplaces,2020-02-28,100.42857142857143
grocery_pharm,2020-02-28,101.85714285714286
residential,2020-02-28,100
retail_rec,2020-02-28,102.14285714285714
transit_stations,2020-02-29,100.14285714285714
workplaces,2020-02-29,100.42857142857143
grocery_pharm,2020-02-29,101.71428571428571
residential,2020-02-29,100
retail_rec,2020-02-29,102.57142857142857
transit_stations,2020-03-01,100
workplaces,2020-03-01,100.42857142857143
grocery_pharm,2020-03-01,102.14285714285714
residential,2020-03-01,100.14285714285714
