place,date,value,StringencyIndex_Average_ForDisplay
Transit stations,2020-02-18,94.85714285714286,11.11
Workplaces,2020-02-18,88.85714285714286,11.11
Retail & recreation,2020-02-18,102,11.11
Grocery & pharmacy,2020-02-18,97.42857142857143,11.11
Residential,2020-02-18,102.28571428571429,11.11
Transit stations,2020-02-19,96.28571428571429,11.11
Workplaces,2020-02-19,89.14285714285714,11.11
Retail & recreation,2020-02-19,103.14285714285714,11.11
Grocery & pharmacy,2020-02-19,98.14285714285714,11.11
Residential,2020-02-19,102.14285714285714,11.11
Transit stations,2020-02-20,97.71428571428571,11.11
Workplaces,2020-02-20,89.42857142857143,11.11
Retail & recreation,2020-02-20,104,11.11
Grocery & pharmacy,2020-02-20,98.71428571428571,11.11
Residential,2020-02-20,102,11.11
Transit stations,2020-02-21,97.71428571428571,11.11
Workplaces,2020-02-21,91.14285714285714,11.11
Retail & recreation,2020-02-21,102.14285714285714,11.11
Grocery & pharmacy,2020-02-21,98.42857142857143,11.11
Residential,2020-02-21,101.85714285714286,11.11
Transit stations,2020-02-22,98.28571428571429,11.11
Workplaces,2020-02-22,93.28571428571429,11.11
Retail & recreation,2020-02-22,101,11.11
Grocery & pharmacy,2020-02-22,99.14285714285714,11.11
Residential,2020-02-22,101.57142857142857,11.11
Transit stations,2020-02-23,98.71428571428571,11.11
Workplaces,2020-02-23,95.42857142857143,11.11
Retail & recreation,2020-02-23,100.28571428571429,11.11
Grocery & pharmacy,2020-02-23,99.42857142857143,11.11
Residential,2020-02-23,101.14285714285714,11.11
Transit stations,2020-02-24,99.42857142857143,11.11
Workplaces,2020-02-24,97.42857142857143,11.11
Retail & recreation,2020-02-24,99.85714285714286,11.11
Grocery & pharmacy,2020-02-24,99.85714285714286,11.11
Residential,2020-02-24,100.71428571428571,11.11
Transit stations,2020-02-25,99.85714285714286,11.11
Workplaces,2020-02-25,99.42857142857143,11.11
Retail & recreation,2020-02-25,99.28571428571429,11.11
Grocery & pharmacy,2020-02-25,100.14285714285714,11.11
Residential,2020-02-25,100.42857142857143,11.11
Transit stations,2020-02-26,99.85714285714286,11.11
Workplaces,2020-02-26,99.71428571428571,11.11
Retail & recreation,2020-02-26,100,11.11
Grocery & pharmacy,2020-02-26,100.57142857142857,11.11
Residential,2020-02-26,100.28571428571429,11.11
Transit stations,2020-02-27,100.14285714285714,11.11
Workplaces,2020-02-27,100,11.11
Retail & recreation,2020-02-27,101.14285714285714,11.11
Grocery & pharmacy,2020-02-27,101.14285714285714,11.11
Residential,2020-02-27,100.14285714285714,11.11
Transit stations,2020-02-28,100.42857142857143,11.11
Workplaces,2020-02-28,100.42857142857143,11.11
Retail & recreation,2020-02-28,102.14285714285714,11.11
Grocery & pharmacy,2020-02-28,101.85714285714286,11.11
Residential,2020-02-28,100,11.11
Transit stations,2020-02-29,100.14285714285714,11.11
Workplaces,2020-02-29,100.42857142857143,11.11
Retail & recreation,2020-02-29,102.57142857142857,11.11
Grocery & pharmacy,2020-02-29,101.71428571428571,11.11
Residential,2020-02-29,100,11.11
Transit stations,2020-03-01,100,11.11
Workplaces,2020-03-01,100.42857142857143,11.11
Retail & recreation,2020-03-01,102.71428571428571,11.11
Grocery & pharmacy,2020-03-01,102.14285714285714,11.11
Residential,2020-03-01,100.14285714285714,11.11
Transit stations,2020-03-02,99.57142857142857,11.11
Workplaces,2020-03-02,100.42857142857143,11.11
Retail & recreation,2020-03-02,102.28571428571429,11.11
Grocery & pharmacy,2020-03-02,102.28571428571429,11.11
Residential,2020-03-02,100.28571428571429,11.11
Transit stations,2020-03-03,99.71428571428571,11.11
Workplaces,2020-03-03,100.71428571428571,11.11
Retail & recreation,2020-03-03,102.85714285714286,11.11
Grocery & pharmacy,2020-03-03,103,11.11
Residential,2020-03-03,100.14285714285714,11.11
Transit stations,2020-03-04,99.85714285714286,11.11
